{\rtf1\ansi\ansicpg1252\cocoartf2636
\cocoatextscaling0\cocoaplatform0{\fonttbl\f0\fnil\fcharset0 Menlo-Regular;}
{\colortbl;\red255\green255\blue255;\red140\green211\blue254;\red24\green24\blue24;\red193\green193\blue193;
\red194\green126\blue101;}
{\*\expandedcolortbl;;\cssrgb\c61176\c86275\c99608;\cssrgb\c12157\c12157\c12157;\cssrgb\c80000\c80000\c80000;
\cssrgb\c80784\c56863\c47059;}
\margl1440\margr1440\vieww11520\viewh8400\viewkind0
\deftab720
\pard\pardeftab720\partightenfactor0

\f0\fs24 \cf2 \cb3 \expnd0\expndtw0\kerning0
\outl0\strokewidth0 \strokec2 challenge:\cf4 \strokec4  \cf5 \strokec5 Someone leaves a rude comment on your social media post. What should you do?\cf4 \cb1 \strokec4 \
\cf2 \cb3 \strokec2 answer:\cf4 \strokec4  \cf5 \strokec5 Report it to the platform\cf4 \cb1 \strokec4 \
\cf2 \cb3 \strokec2 btn1:\cf4 \strokec4  \cf5 \strokec5 Ignore the comment\cf4 \cb1 \strokec4 \
\cf2 \cb3 \strokec2 btn2:\cf4 \strokec4  \cf5 \strokec5 Respond rudely\cf4 \cb1 \strokec4 \
\cf2 \cb3 \strokec2 btn3:\cf4 \strokec4  \cf5 \strokec5 Report it to the platform\cf4 \cb1 \strokec4 \
\
\cf2 \cb3 \strokec2 challenge:\cf4 \strokec4  \cf5 \strokec5 Your friend is being targeted by a bully in a group chat. What should you do?\cf4 \cb1 \strokec4 \
\cf2 \cb3 \strokec2 answer:\cf4 \strokec4  \cf5 \strokec5 Support your friend and encourage them to speak up\cf4 \cb1 \strokec4 \
\cf2 \cb3 \strokec2 btn1:\cf4 \strokec4  \cf5 \strokec5 Support your friend and encourage them to speak up\cf4 \cb1 \strokec4 \
\cf2 \cb3 \strokec2 btn2:\cf4 \strokec4  \cf5 \strokec5 Join in and make fun\cf4 \cb1 \strokec4 \
\cf2 \cb3 \strokec2 btn3:\cf4 \strokec4  \cf5 \strokec5 Stay silent to avoid confrontation\cf4 \cb1 \strokec4 \
}
